,1,高野豆腐の卵とじ,ベーコン,コーンスープ,和風明太子スパゲティ,白菜とハムの炒め,イタリアンハンバーグステーキ,スイートえんどうのおかか和え,長ねぎとえのきの味噌汁,,
,2,ウインナー,ほうれん草とマカロニのクリーム煮,キャベツとしめじの味噌汁,大判きつねうどん,めかぶとオクラの冷奴,チキンの衣揚げデミマヨソース,こんにゃくと野菜の煮物,小松菜とわかめの味噌汁,,
,3,ミックススクランブル,白菜とチャーシューの炒め,豆腐とわかめの味噌汁,ケチャップオムライス,さつま芋のはちみつバター風味,肉豆腐,じゃが芋のニンニクおかか和え,大根とわかめの味噌汁,,
,4,根菜鶏つくねハンバーグ,小松菜とコーンのにひたつぃ,わかめスープ,ビーフカレー,キャベツサラダ,鶏の唐揚げ青のり風味,キャベツと筍の炒め煮,わかめと麩の味噌汁,,
,5,出し巻き玉子,ひじきと切干大根のきんぴら,じゃがいもと玉ねぎの味噌汁,とんこつラーメン,胡瓜とカリフラワーの梅和え,鶏肉と野菜のうま煮,オクラとわかめの酢の物,キャベツと大根の味噌汁,,
,6,かぼちゃのコロッケ,人参のたらこ炒め,ごぼうの味噌汁,鶏肉きんぴら丼,ブロッコリーのナムル,豚肉の南蛮焼き,ピリ辛こんにゃく,わかめと玉ねぎの味噌汁,,
,7,和風スクランブル,ハム,キャベツとわかめの味噌汁,【七夕】そうめん,春巻,白身魚フライとハムマヨサラダフライ,玉葱のサラダ,大根とわかめの味噌汁,,昼特：マスカットゼリー
,8,鶏肉団子の甘酢あん,蒸し鶏のコールスローサラダ,コーンと玉葱のスープ,ロコモコハンバーグ目玉焼き添え,フライドポテト,鶏もも肉の焦がしみそ焼き,ポテトの醤油バター風味,白菜とえのきの味噌汁,,
,9,ウインナー,白菜と挽肉の炒め煮,じゃがいもと玉ねぎの味噌汁,横浜もやしあんかけラーメン,餃子,鯖のキムチマヨ焼き,さつま芋と大根の煮物,豆腐とわかめの味噌汁,,
,10,野菜のスクランブル,ベーコン,わかめと玉ねぎの味噌汁,親子丼,大根の明太和え,豚肉の粗焼ペッパー焼き,白菜と玉葱の和風和え,大根と油揚げの味噌汁,,
,11,肉団子の旨煮,さつま揚げと人参のきんぴら,もやしと人参のスープ,チキンカレー,わかめサラダ,【愛媛】タコ飯と唐揚げ,小松菜とわかめの味噌汁,,,
,12,肉野菜炒め,小松菜のお浸し,ごぼうの味噌汁,キャベツとベーコンのペペロンチーノ,海藻とオニオンのマリネサラダ,肉団子のデミトマ煮,ピーマンの3色マリネ,じゃがいもと玉ねぎの味噌汁,,
