,19,鶏肉団子の甘酢あん,ひじきと切干大根のきんぴら,じゃがいもと玉ねぎの味噌汁,かき玉うどん,さつま芋天,おでん,小松菜の香味浸し,わかめと麩の味噌汁,,
,20,きのこのスクランブル,ジャーマンポテト,大根と人参の味噌汁,肉味噌温玉丼（大豆ミート）,青菜と白菜のポン酢がけ,唐揚げ食べ放題,ミックス野菜サラダ,キャベツと玉ねぎの味噌汁,（夕特）,
,21,厚揚げと野菜の生姜煮,ハムとブロッコリーのマヨソース,野菜スープ,チキンカレー,ポテトといんげんのサラダ,さばのつけ焼き,ひじきと大豆の煮物,キャベツとえのきの味噌汁,,
,22,ベーコン,青じそスパゲティ,ごぼうの味噌汁,鶏挽肉と野菜のあんかけ炒飯,もやしとハムの豆板醬和え,アジフライ,ピーマンとこんにゃくのピリ辛和え,しめじとわかめの味噌汁,,
,23,温泉玉子,ハム野菜炒め,じゃがいもとキャベツの味噌汁,チョリソーのペペロンチーノ,コーンポテト,肉団子と春雨のスープ煮,山菜のみぞれ煮,白菜とえのきの味噌汁,,
,24,ウインナー,人参と玉子の炒め,じゃがいもと玉ねぎの味噌汁,醬油ラーメン,水餃子,白身魚のフリットジンジャーソース,青菜と高野豆腐の煮物,油揚げと長ネギの味噌汁,,
,25,厚揚げのそぼろあん,ポテトサラダ,玉子スープ,【島根】カツライス,白菜のお浸し,ちくぜん煮,ニンジンとチリメンジャコのきんぴら,キャベツと大根の味噌汁,,
,26,和風スクランブル,和風マカロニサラダ,大根とわかめの味噌汁,鶏南蛮うどん,わかめサラダ,ヒレカツ,ポテトのそぼろあん,長ねぎとえのきの味噌汁,,
,27,肉入りコロッケ,インゲンときのこのお浸し,キャベツと玉ねぎの味噌汁,葱チャーシュー炒飯,キャベツと人参の辛子醬油,豚肉と野菜のオイスターソース炒め,大根の塩昆布和え,巻き麩となめこの味噌汁,,
,28,プレーンオムレツ,切り干しとごぼうのマヨぽんだれ,小松菜と大根の中華スープ,キーマカレー,カラフルサラダ,鶏肉と玉子の甘辛煮,にらともやしのチャンプルー,キャベツと大根の味噌汁,,
,29,照り焼き肉団子,キャベツ・ツナコーン炒め,キャベツとえのきの味噌汁,味噌とんかつ,ブロッコリーのナムル,野菜炒め,オクラとえのきのお浸し,わかめと麩の味噌汁,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,,,,,,,,,,,
月,日,朝１,朝２,朝３,昼１,昼２,夕１,夕２,夕３,,その他
