,1,,,,,,,,,,
,2,,,,,,,,,,
,3,野菜のスクランブルエッグ,ベーコン,豆腐とわかめの味噌汁,塩ワンタンメン,春巻,[節分]イワシ青のりフライ大豆トマトソース,ワカメと玉葱の中華和え,大根とわかめの味噌汁,,
,4,チキンナゲット,五目煮,コーンと玉葱のスープ,タイ風　鶏肉の生姜炒めご飯,小松菜のおひたし,鶏のジューシーからあげ,ブロッコリーのおかか和え,わかめと玉ねぎの味噌汁,,
,5,鯖の塩焼き,ほうれん草と人参のソテー,じゃが芋と玉葱の味噌汁,豚ネギうどん,焼売,豚肉と白菜のクリーム,明太子スパゲティ,キャベツとしめじの味噌汁,,
,6,プレーンオムレツ,ハムとブロッコリーのマヨソース,大根とわかめの味噌汁,プルコギポーク丼,カレー味ビーフン,鶏肉のヤンニンソースがけ,ポテトの磯部揚げ,小松菜とわかめの味噌汁,,
,7,ハム野菜炒め,蓮根と玉葱のマヨ和え,コンソメジュリアン,ポークカレー,わかめサラダ,鶏肉の治部煮,緑黄色野菜委のおかか和え,長ネギとえのきの味噌汁,,
,8,ハンバーグ,ウインナーと野菜のソテー,じゃが芋とわかめの味噌汁,【事八日】,マスの塩焼き&お事汁定食,メンチカツとピーマン肉詰めフライ,にらともやしの辛子醬油,わかめと玉ねぎの味噌汁,,
,9,目玉焼き,インゲンと白滝の柚子しょうゆ,キャベツとわかめの味噌汁,叉焼炒飯,香味野菜の青じそ風味,高野豆腐の生姜家常豆腐,白菜と人参のピリ辛和え,大根とわかめの味噌汁,,
,10,ミックススクランブル,コーンじゃがバター風味,豆腐とわかめの味噌汁,ベーコンとほうれん草の和風スパゲティ,かぼちゃのカレー煮,鯖の味噌煮,さつま芋のきんぴらバター風味,キャベツとえのきの味噌汁,,
,11,がんもの煮物,ブロッコリーのガーリック炒め,わかめスープ,豚肉の生姜焼き丼,人参のナムル,鶏肉のパン粉焼きカレー風味,ピーマンの三色マリネ,巻き麩となめこの味噌汁,,
,12,ウインナー,蓮根ポテトサラダ,大根と人参の味噌汁,【初午】いなりちらし,野菜コロッケ,鶏肉と根菜の甘酢,キャベツのお浸し,わかめと玉ねぎの味噌汁,,昼特：ぶどうゼリー
,13,一口つくねの照り焼き,小松菜とコーンのジャコ和え,じゃがいもとキャベツの味噌汁,けんちんうどん,わかめのツナ炒め,ハンバーグデミグラスソース,カリフラワーとエリンギのコンソメ煮,豆腐とわかめの味噌汁,,
,14,ピーマン肉詰めフライ,いんげんとベーコンのソテー,ポテトと人参のスープ,ビーフカレー,ミックスサラダ,たらザンギ,茄子のみぞれ煮,白菜とえのきの味噌汁,,
,15,厚揚げのそぼろあん,ハム,じゃが芋とわかめの味噌汁,チキンカツ,ポテトの明太ソース,茄子味噌炒めと餃子,ブロッコリーとコーンのマヨソース,キャベツとわかめの味噌汁,,
,16,ミートオムレツ,ピーマンのおかか和え,わかめと玉ねぎの味噌汁,チャーハンWITH肉そぼろ,きゅうりの中華和え,肉じゃが,切り干し大根の青じそ和え,キャベツとしめじの味噌汁,,
,17,チキンナゲット,茹で野菜のサラダ,豆腐とわかめの味噌汁,ワカメとんこつラーメン,メンチカツ,【勝ち飯】鶏むね肉のチーズグリル　シャリアピンソースセット,ベーコンと野菜の洋風カレー煮,わかめと玉ねぎの味噌汁,,
,18,ほうれん草オムレツ,ペンネナポリタン,カレースープ,麻婆豆腐,春野菜のコンソメ煮,【雨水】チキンソテー和風梅ソース,3種の豆とポテトの辛子マヨ和え,キャベツとしめじの味噌汁,,
