,1,ミートオムレツ,ひじきと白滝の煮付け,キャベツとわかめの味噌汁,ミートソーススパゲティ,ミックスビーンズのマリネ,チキンクリームシチュー,キャベツとハムのコンソメソテー,小松菜とわかめの味噌汁,,
,2,ピーマン肉詰めフライ,里芋の彩りあんかけ,ごぼうの味噌汁,ウインナーのカレーピラフ,そら豆とポテトのマヨ和え,白身魚のムニエル温野菜添え,白菜とツナのポン酢和え,大根とわかめの味噌汁,,
,3,マスの塩焼き,白菜とチャーシューの炒め,キャベツとしめじの味噌汁,豚肉と野菜のオイスターソース焼きそば,玉葱のおかか和え,根菜と五目巾着の煮物,キャベツの胡麻和え,小松菜とわかめの味噌汁,,
,4,がんもの煮物,ひじきの胡麻マヨサラダ,じゃがいもと玉ねぎの味噌汁,豚肉のトマト煮込み,キャベツのピーナッツ和え,麻婆野菜炒め,大根と胡瓜のキムチ和え,豆腐とわかめの味噌汁,,
,5,きのこのスクランブルエッグ,ハム,じゃがいもと玉ねぎの味噌汁,とんこつ野菜ラーメン,春巻,鶏肉と根菜の甘辛あんかけ,春雨サラダ,もやしと油揚げの味噌汁,,
,6,チキンナゲット,ごぼうのマカロニサラダ,白菜と大根の中華スープ,焼肉ピラフ,豆もやしのナムル,おでん,さつま芋のはちみつバター風味,じゃがいもとキャベツの味噌汁,,
,7,厚揚げと野菜の生姜煮,ピリ辛こんにゃく,キャベツとしめじの味噌汁,ベーコンとほうれん草の和風スパゲティ,海藻と大根の梅サラダ,鶏肉のヤンニンソースがけ,もやしとほうれん草のカレーチャプチェ,じゃがいもとわかめの味噌汁,,
,8,ジャーマンポテト,ペペロンチーノ,わかめと玉ねぎの味噌汁,葱チャーシュー丼,白菜とハムの炒め,アジフライ　おろしポン酢,小松菜ともやしの塩昆布和え,キャベツとえのきの味噌汁,,
,9,ハンバーグ,ほうれん草と人参のソテー,マカロニと野菜のスープ,ビーフカレー,和風スパゲティー,豚肉と野菜のオイスターソース炒め,焼き野菜のピリ辛マヨだれ,玉葱とえのきの味噌汁,,
,10,鶏団子の南蛮風,切り干し大根の炒め煮,じゃが芋と玉ねぎの味噌汁,豚肉ごぼう炒め丼,ハムとキャベツの胡麻マヨネーズ,豚肉の生姜焼き,ほうれん草と白菜のお浸し,大根とわかめの味噌汁,,
,11,野菜とベーコンのスクランブルエッグ,ハム,ごぼうの味噌汁,チキンクリームシチュー,トマトビーンズ,さばのつけ焼き,じゃが芋のニンニクおかか和え,キャベツと玉ねぎの味噌汁,,
,12,目玉焼き,ひじきと大豆の煮物,刻み揚げと長ねぎの味噌汁,タンメン,蓮根といんげんの胡麻マヨネーズ,白身魚の天ぷらおろしポン酢,玉葱のおかか和え,しめじとわかめの味噌汁,,
,13,コーンスクランブル,ベーコン,野菜スープ,3色丼,もやしとニラの香味だれ和え,鶏肉のソテー柚子胡椒ソース,竹輪とキャベツの味噌マヨ和え,豆腐とわかめの味噌汁,,
,14,厚揚げのそぼろあん,小松菜とコーンのジャコ和え,じゃがいもと玉ねぎの味噌汁,鶏肉きんぴら丼,アジアン風ホクホクポテト,ハンバーグジンジャーソース,白菜のお浸し,麩と三つ葉の味噌汁,,夕特：お寿司バイキング
,15,照り焼き肉団子,白菜のゴマ和え,キャベツとわかめの味噌汁,プルコギうどん,湯豆腐(生姜あん),クリームコロッケタルタルソース,エリンギ炒め,大根と人参の味噌汁,,
,16,ミートオムレツ,ツナとコーンのスパゲティサラダ,キャベツと玉ねぎのスープ,おそば屋さんのかつカレー丼,大根とツナの青じそサラダ,豚肉と野菜の味噌炒め,ニンジンしりしり,じゃがいもとキャベツの味噌汁,,
,17,豆腐ハンバーグ,キャベツの粒マスタード和え,大根と人参の味噌汁,ナポリタン,きのことパプリカのマリネ,水餃子と春雨のスープ煮,ワカメと玉葱の中華和え,小松菜とわかめの味噌汁,,
,18,だし巻き玉子,ピーマンとこんにゃくのピリ辛炒め,キャベツと玉ねぎの味噌汁,豚バラと豆腐のトマト旨煮,さつま芋ダイスサラダ,鶏肉のサラダ仕立て,キャベツのゆかり和え,麩となめこの味噌汁,,
,19,ほうれん草オムレツ,ソーセージとキャベツのフレンチサラダ,じゃがいもと玉ねぎの味噌汁,鶏塩梅ラーメン,シュウマイ,照りマヨチキン,茹で野菜のサラダ,じゃがいもと玉ねぎの味噌汁,,昼特：プチシュークリーム
,20,ウインナー,ほうれん草と人参のソテー,コンソメジュリアン,葱チャーシュー炒飯,ごぼうと人参の中華和え,鶏肉のチーズピカタ,和風マカロニサラダ,もやしと油揚げの味噌汁,,
,21,和風スクランブル,ハム,長ネギとえのきの味噌汁,ドライカレー,コーンポテト,豚肉とチンゲン菜の塩レモン炒め,白菜とツナのゴマポン酢,じゃがいもとキャベツの味噌汁,,
,22,肉団子の旨煮,カリフラワーのカレーツナサラダ,もやしとわかめの味噌汁,豚肉と野菜のオイスターソース焼きそば,ほうれん草のお浸し,ポテトコロッケとチキンカツ,蓮根としめじの甘辛炒め,大根とわかめの味噌汁,,
