,23,ハムカツ,ピーマンのおかか和え,白菜と大根の中華スープ,ポーク焼き肉の胡麻だれ,ひじきと白滝の煮付け,さばの胡麻風味の みそ焼き,かぼちゃのそぼろあん,キャベツと大根の味噌汁,,
,24,アジの照り焼き,蓮根と長葱の香味和え,玉ねぎと油揚げの味噌汁,和風アボカドクリームスパゲティ,大根とえんどうのコンソメ煮,鶏もも肉のみぞれ煮,ブロッコリーのガーリック炒め,キャベツとしめじの味噌汁,,
,25,がんもの煮物,ピリ辛こんにゃく,キャベツとえのきの味噌汁,ポークデミシチュー,ブロッコリーとコーンのマヨ和え,豚肉の南蛮焼き,ピーマンの中華和え,豆腐とわかめの味噌汁,,
,26,フランクフルト,キャベツ・ツナコーン炒め,大根とわかめの味噌汁,豚肉と白菜の卵とじうどん,さつま芋と大豆の胡麻がらめ,鶏肉のカレー風味揚げ,ポテトの明太ソース,キャベツと油揚げの味噌汁,,
,27,肉団子の甘酢煮,しめじのおかか和え,野菜スープ,タコライス,韓国風カムカムナムル,煮込みハンバーグ,キャベツとハムのコンソメソテー,ワカメとえのきの味噌汁,,
,28,ほうれん草のスクランブルエッグ,ハム,しめじとわかめの味噌汁,和風明太子スパゲティ,ベーコンと野菜のイタリアンサラダ,アジフライとイカカツ,大根の梅マヨ和え,キャベツとえのきの味噌汁,,
,29,厚揚げとキャベツの味噌炒め,ほうれん草と白菜のゴマ和え,キャベツとわかめの味噌汁,プルコギ丼,小松菜ときのこの白和え,鶏肉のレモン焼きタルタルソース,ブロッコリーのナムル,玉ねぎと油揚げの味噌汁,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,,,,,,,,,,,
月,日,朝１,朝２,朝３,昼１,昼２,夕１,夕２,夕３,,その他
