,1,目玉焼き,インゲンと白滝の柚子しょうゆ,ごぼうの味噌汁,鶏肉と野菜のうま煮,茄子のゆず醤油,豚肉と野菜のカレー炒め,にらともやしの辛子醤油,キャベツと大根の味噌汁,,
,2,トマトスクランブル,ベーコン,豆腐とわかめの味噌汁,【牛乳の日】ポタージュ風冷やし中華,ぽてとのそぼろあん,夏野菜の四川風炒め,れんこんポテトサラダ,わかめと麩の味噌汁,,
,3,厚揚げのそぼろあん,ブロッコリーのガーリック炒め,とうもろこしと玉葱の中華スープ,葱チャーシュー炒飯,人参のナムル,目玉焼きフライトデミグラスコロッケ,さつま芋のきんぴらバター風味,キャベツと玉葱の味噌汁,,
,4,一口つくねの照り焼き,マカロニサラダ,わかめと玉ねぎの味噌汁,肉みそ茄子うどん,キャベツのお浸し,チキンの香味揚げ,わかめのツナ炒め,キャベツとえのきの味噌汁,,
,5,ウインナー,ほうれん草とかぼちゃのソテー,じゃがいもとキャベツの味噌汁,ベーコンとほうれん草の和風スパゲッティ,肉団子の旨煮,たらザンギ,ピーマンの三色マリネ,小松菜とわかめの味噌汁,,
,6,ピーマン肉詰めフライ,枝豆コーンソテー,ポテトと人参のスープ,ビーフカレー,ミックスサラダ,肉じゃが,大根ときゅうりのなめたけ和え,玉葱とえのきの味噌汁,,
,7,油揚げと大根の煮付け,ハム,じゃが芋とわかめの味噌汁,豚肉の生姜焼き丼,きゅうりの中華和え,アジフライ,カリフラワーとエリンギのコンソメ煮,しめじとわかめの味噌汁,,
,8,ミートオムレツ,ピーマンのおかか和え,ごぼうの味噌汁,チキンのデミトマやわらか煮,菜の花みぞれ和え,麻婆茄子,オクラの梅おかか和え,わかめと玉ねぎの味噌汁,,
,9,厚揚げと野菜の生姜煮,ハムとブロッコリーのマヨソース,豆腐とわかめの味噌汁,ワカメとんこつラーメン,メンチカツ,ポークチャップ,根菜のグリル,わかめと玉ねぎの味噌汁,,
,10,ほうれん草オムレツ,ペンネナポリタン,カレースープ,肉味噌温玉丼,コーンポテト,【入梅】イワシ天＆鶏天 梅ソース,小松菜の香味浸し,油揚げと長ネギの味噌汁,,夕特：プチシュー
,11,鶏肉団子の甘酢あん,切り干しとごぼうのマヨぽんだれ,じゃがいもと玉ねぎの味噌汁,肉天うどん,ハムとひじきの中華サラダ,ちくぜん煮,茄子のみぞれ和え,小松菜とわかめの味噌汁,,
,12,きのこスクランブル,キャベツ・ツナコーン炒め,キャベツと大根の味噌汁,プルコギポーク丼,冷奴,グリルチキンベーコンオニオンソース,ブロッコリーとコーンの辛子マヨネーズ,玉葱とえのきの味噌汁,,
,13,チキンナゲット,茹で野菜のサラダ,ジュリアン野菜スープ,チキンカレー,わかめサラダ,鯖の生姜煮,ピーマンとこんにゃくのピリ辛和え,わかめと玉ねぎの味噌汁,,
,14,温泉玉子,ハム野菜炒め,ごぼうの味噌汁,アマトリチャーナ,花野菜のコンソメ煮,とんかつ,切干大根の青じそ和え,キャベツとえのきの味噌汁,,
,15,ベーコン,和風スパゲッティ,じゃがいもとキャベツの味噌汁,肉団子と春雨のスープ,もやしとハムの豆板醤和え,豚肉の南蛮焼き,青菜と白菜のポン酢がけ,わかめと麩の味噌汁,,
,16,ウインナー,人参と玉子の炒め,大根とわかめの味噌汁,醬油ラーメン,フライドポテト,鯖の味噌煮,さつま揚げと人参のきんぴら,じゃがいもと玉ねぎの味噌汁,,
,17,厚揚げのそぼろあん,ハム,玉子スープ,チャーハンWITH肉そぼろ,ブロッコリーのナムル,豚肉と揚げごぼうのサラダ仕立て,じゃが芋の甘辛炒め,キャベツと大根の味噌汁,,
,18,和風スクランブル,切干大根のきんぴら,キャベツと大根の味噌汁,キーマカレー,カラフルサラダ,ハンバーグデミグラスソース,海藻と玉葱の梅おかか和え,豆腐とわかめの味噌汁,,
,19,肉入りコロッケ,いんげんときのこのお浸し,大根と人参の味噌汁,麻婆豆腐飯,キャベツと人参の辛子醬油,鶏肉のパン粉焼きカレー風味,香味野菜の青じそ風味,キャベツとわかめの味噌汁,,
,20,プレーンオムレツ,ジャーマンポテト,わかめスープ,【夏至】焼肉サラダうどん,玉子豆腐,白身魚のフリットジンジャーソース,白滝ときのこのピリ辛炒め,キャベツとえのきの味噌汁,,昼特：ぶどうゼリー
,21,照り焼き肉団子,スパゲティと玉葱のサラダ,ごぼうの味噌汁,鶏肉とキャベツのガリバタ炒め,白菜のお浸し,照り煮チキン,大根の塩昆布和え,小松菜とわかめの味噌汁,,
,22,目玉焼き,ハムと野菜のカレー炒め,キャベツと玉葱の味噌汁,チョリソーのペペロンチーノ,ブロッコリーのカレーマヨ和え,豚肉の生姜焼き,オクラとえのきのお浸し,わかめと麩の味噌汁,,
,23,ミートオムレツ,ウインナーと野菜のソテー,ごぼうの味噌汁,(冷)ミックスうどん,肉団子の旨煮,ポテトコロッケとチキンカツ,ケチャップスパゲティー,しめじとわかめの味噌汁,,
,24,チキンナゲット,ひじきと枝豆の煮物,マカロニと野菜のスープ,【福岡】イカげそタルタル弁当風,小松菜とえのきのみぞれ和え,白身魚のマヨネーズチーズ焼き,かぼちゃのカレー煮,大根とわかめの味噌汁,,
,25,野菜のスクランブル,ハム,キャベツと油揚げの味噌汁,クリームミートソーススパゲティ,ブロッコリーとお豆のサラダ,油淋鶏,白菜の塩昆布和え,わかめと玉ねぎの味噌汁,,
,26,ハンバーグ,ほうれん草とコーンのソテー,キャベツと玉葱の味噌汁,たれかつ丼,蒸し鶏と胡瓜の梅和え,【勝ち飯】鶏肉と高野豆腐のオランダ煮セット,オクラとツナのおかか和え,キャベツと大根の味噌汁,,
,27,肉野菜炒め,和風マカロニサラダ,春雨スープ,ポークカレー,和風大根サラダ,さばのつけ焼き,根菜の田舎風,小松菜とわかめの味噌汁,,
,28,温泉玉子,コーンじゃがバター風味,しめじとわかめの味噌汁,豚肉と白菜のクリーム煮,茄子の生姜醬油,鶏の黒胡椒炒め,ポテトの明太ソース,大根とわかめの味噌汁,,
,29,オニオンスクランブル,ベーコン,じゃがいもと玉ねぎの味噌汁,牛肉と野菜のすき焼き丼,めかぶの酢の物,鶏肉とさつま芋の煮物,オクラのピリ辛和え,わかめと麩の味噌汁,,
,30,照り焼き肉団子,ポテトサラダ,キャベツとわかめの味噌汁,【夏越】かき揚げの夏越ご飯＆天ぷらセット,キャベツのゆず和え,白身魚のムニエル温野菜添え,大根のそぼろあん,,,
,31,,,,,,,,,,
